"","H.G","Elec","P.A","Fashion"
"151",4458828.87240123,3145056.36398278,2871023.67042258,1969375.2966208
"152",3058219.4269215,2443293.84376726,1882121.27510735,1550844.72992212
"153",4553409.8933331,3442935.72165415,2177527.92749022,2201874.03822771
"154",5495994.74593516,3871538.58338824,2589171.5394914,2568639.18852984
"155",6096610.05354586,4206647.74814745,3001482.11867747,2676461.61045542
"156",7937033.44127363,4559802.62809458,3645429.37312983,3628794.00662594
"157",8022454.92015351,5227756.82336257,4562499.72999903,3259766.61868141
"158",7101680.73691272,4559897.71727928,3736683.00437513,2960768.4281372
"159",4458932.54771928,2875092.74981659,2128207.57360519,1888550.51313156
"160",5968124.78459694,3507720.8410775,2385536.65416329,2461544.83856927
"161",7734797.35530683,4750240.1253187,3858109.47754658,2785810.35870512
"162",7135872.7792146,3967542.77481637,3149459.20408559,2758349.43361287
"163",9347032.45199883,4681811.72322121,3932670.5736445,3687588.09365695
"164",8393293.4884536,5214960.81164972,4904397.15971658,2973321.86703147
"165",8307763.10827107,5003969.34230171,4625675.43837751,3158474.97285793
"166",7892924.45429357,4995757.29312326,4724777.36604548,2935328.12289771
"167",7389283.61148868,4786058.0483619,4370436.75117358,2905486.0845505
"168",6510650.11318483,4103417.24527388,3720680.36358907,2712067.31550996
"169",6763456.93346681,3870293.34666568,3262126.64584445,2789608.49348093
"170",10174447.3080071,4937171.31622627,4457546.72027681,4123943.70313886
"171",8317130.81110084,4899925.00877361,5179627.79343711,3244634.23439845
"172",7691988.64577209,4767122.61780824,4887814.91853128,3029536.82809253
"173",7692069.28339839,4718574.88599409,4792609.19801415,3129456.77830334
"174",7211836.76646015,4783969.80842466,4436350.56861426,3083617.92357606
"175",6257437.45754769,3964845.68626318,3711852.06821153,2653851.51356048
"176",6550151.69874236,3692787.80889031,3378548.68842583,2830635.73802188
"177",10325115.8772728,4770691.40494066,4846157.80107902,4352199.42136254
"178",8390910.75898902,4955654.51377335,5428549.91717463,3352360.61893564
"179",7707785.32513432,4559074.17304235,4968109.11821177,3204926.93299181
"180",7406445.90451367,4628185.77083663,4616361.2155085,3135786.58865491
"181",6968820.38323462,4540543.73312685,4314038.2058851,3057183.42263628
"182",6199205.03050927,3964497.6515758,3621423.18355783,2738998.27695404
"183",6482006.60594325,3721169.75132785,3275307.58986126,2911224.17244672
"184",10056319.4840285,5013037.05628591,4734194.37066539,4377009.62530756
"185",8401173.52007309,5105793.708687,5419350.78965042,3425483.52467559
"186",7873539.65729555,4799845.73624244,4982569.26313352,3337274.68653847
"187",7782451.31702388,4904875.94536013,4874066.6417627,3375741.74490192
"188",7738028.73673919,4776390.04347025,4713839.6096219,3503509.31914162
"189",7040272.23487656,4342797.60290711,4213251.08480119,3257730.24576511
"190",7182668.51559906,3966585.55217393,3722032.96362102,3226178.80351513
"191",11094015.9775618,5367219.14756943,5286723.95428974,4979609.55504867
"192",8874723.0525265,5054627.79526996,5605416.56587467,3874502.49395599
"193",8084384.4231825,4768133.21213198,5205496.27622792,3592704.05686132
"194",7954463.74286886,4978844.18588231,5037438.79778073,3604762.28869798
"195",7367788.31546171,4614959.73162099,4498947.42322001,3476919.44392031
"196",6361132.07066296,3955078.81703912,3829183.29509701,2993358.74402741
"197",6682534.89036341,3505015.87349404,3435424.53479809,3081392.05713352
"198",10469262.3835824,4805303.59245604,5024216.61700864,4830919.56494777
"199",8559075.51376874,4857429.33718502,5717598.72338959,3776545.91932346
"200",7909231.18061994,4513077.87906749,5304909.69646665,3380187.64607302
"201",7577977.44849594,4631629.19337208,5044508.70737344,3152403.6380921
"202",6938110.30718351,4377850.49650329,4581439.69128077,2831526.51374507
"203",6123599.59372794,3791518.50533183,3961911.56828097,2416719.43800759
"204",6103116.44995859,3386281.34787645,3438618.70629227,2451681.82746499
"205",9975622.30659668,4473294.21634913,5021100.37034674,3896480.01453032
"206",8534547.69757315,4713394.23803045,5642146.63770073,2971096.44673096
"207",8013702.27462817,4557990.90712468,5284037.31650897,2835684.52582209
"208",7752787.49905536,4461445.55463114,5164158.97910337,2805147.89740879
